split_A,image_A,split_B,image_B,SSIM
train,01230.jpg,test,00439.jpg,0.9896662482210186
train,01230.jpg,test,01538.jpg,0.9896662482210186
train,01023.jpg,test,01500.jpg,0.9895450843637804
train,01021.jpg,test,01499.jpg,0.9895238022796482
train,01021.jpg,test,00402.jpg,0.9895238022796482
train,05032.jpg,test,00937.jpg,0.9894925075583596
train,05032.jpg,test,02177.jpg,0.9894925075583596
train,04905.jpg,test,02155.jpg,0.989458165185493
train,01043.jpg,test,00404.jpg,0.9894092148980396
train,01043.jpg,test,01503.jpg,0.9894092148980396
train,05022.jpg,test,02176.jpg,0.9894048436573385
train,05022.jpg,test,00936.jpg,0.9894048436573385
train,01019.jpg,test,01501.jpg,0.9893313688902049
train,01019.jpg,test,00403.jpg,0.9893313688902049
train,05000.jpg,test,00931.jpg,0.9893245203765967
train,05000.jpg,test,02170.jpg,0.9893245203765967
train,05032.jpg,test,02178.jpg,0.9893062186166862
train,05024.jpg,test,00937.jpg,0.9892880283838439
train,05024.jpg,test,02177.jpg,0.9892880283838439
train,05024.jpg,test,02176.jpg,0.9892790895933888
train,05024.jpg,test,00936.jpg,0.9892790895933888
train,05187.jpg,test,02200.jpg,0.9892761474686494
train,05187.jpg,test,00954.jpg,0.9892761474686494
train,04938.jpg,test,02161.jpg,0.9892755423081492
train,04938.jpg,test,00925.jpg,0.9892755423081492
train,01232.jpg,test,00440.jpg,0.9892442622500114
train,01232.jpg,test,01539.jpg,0.9892442622500114
train,05027.jpg,test,02178.jpg,0.9892344440774359
train,05178.jpg,test,02198.jpg,0.9891903401292306
train,01022.jpg,test,00403.jpg,0.9891719211047801
train,01022.jpg,test,01501.jpg,0.9891719211047801
train,01411.jpg,test,01572.jpg,0.9891361619772328
train,01411.jpg,test,00464.jpg,0.9891361619772328
train,01114.jpg,test,00424.jpg,0.989134302400253
train,01114.jpg,test,01517.jpg,0.989134302400253
train,01057.jpg,test,01503.jpg,0.9891218500566135
train,01057.jpg,test,00404.jpg,0.9891218500566135
train,03085.jpg,test,01879.jpg,0.9891085896177312
train,03076.jpg,test,01879.jpg,0.9890987642698913
train,00972.jpg,test,00396.jpg,0.9890637806656735
train,00972.jpg,test,01491.jpg,0.9890637806656735
train,03084.jpg,test,01879.jpg,0.9890415799958762
train,01018.jpg,test,01501.jpg,0.989029503057902
train,01018.jpg,test,00403.jpg,0.989029503057902
train,05032.jpg,test,00936.jpg,0.9890200595405921
train,05032.jpg,test,02176.jpg,0.9890200595405921
train,05026.jpg,test,02178.jpg,0.9890134370643959
train,01205.jpg,test,01535.jpg,0.9890084665610138
train,05188.jpg,test,02199.jpg,0.9889913872042688
train,05188.jpg,test,00953.jpg,0.9889913872042688
train,05020.jpg,test,00934.jpg,0.9889548552501175
train,05020.jpg,test,02174.jpg,0.9889548552501175
train,03083.jpg,test,01879.jpg,0.9889500474722498
train,04884.jpg,test,00918.jpg,0.9889448539383247
train,04884.jpg,test,02153.jpg,0.9889448539383247
train,05004.jpg,test,00932.jpg,0.9889067040571029
train,05004.jpg,test,02171.jpg,0.9889067040571029
train,01220.jpg,test,01539.jpg,0.988904615230287
train,01220.jpg,test,00440.jpg,0.988904615230287
train,04996.jpg,test,02172.jpg,0.9888968169056946
train,04996.jpg,test,00933.jpg,0.9888968169056946
train,05030.jpg,test,00936.jpg,0.9888860479782604
train,05030.jpg,test,02176.jpg,0.9888860479782604
train,04934.jpg,test,00923.jpg,0.988821568684816
train,04934.jpg,test,02159.jpg,0.988821568684816
train,01021.jpg,test,01500.jpg,0.9888111504249703
train,00928.jpg,test,01479.jpg,0.9887861613768134
train,05179.jpg,test,02199.jpg,0.9887549602316436
train,05179.jpg,test,00953.jpg,0.9887549602316436
train,01412.jpg,test,01572.jpg,0.9887215877481892
train,01412.jpg,test,00464.jpg,0.9887215877481892
train,01112.jpg,test,01516.jpg,0.9887162375441192
train,01112.jpg,test,00423.jpg,0.9887162375441192
train,01039.jpg,test,01503.jpg,0.9887035556174552
train,01039.jpg,test,00404.jpg,0.9887035556174552
train,04933.jpg,test,02159.jpg,0.9886943239347116
