image,GT_index,width_px,height_px,area_px,area_ratio,size,aspect_ratio,position,brightness,contrast,blur_score,best_IoU
01389.jpg,0,120,75,9000,0.009765625,Medium,1.6,Center,135.74068444444444,56.00148370949531,58.867359271822224,0.0
01613.jpg,0,30,19,570,0.0002748842592592593,Tiny,1.5789473684210527,Center,131.3659649122807,46.96719758118795,428.2624766709756,0.0
01615.jpg,0,31,15,465,0.00022424768518518518,Tiny,2.066666666666667,Center,189.15948387096773,6.710943185818834,59.803384851890385,0.0
01774.jpg,0,26,15,390,0.0001880787037037037,Tiny,1.7333333333333334,Center,89.20010256410256,49.724697057150365,844.8184803050625,0.0
01823.jpg,0,22,11,242,0.00011670524691358024,Tiny,2.0,Center,66.9596694214876,25.325615554147998,94.05534214876035,0.0
01833.jpg,0,70,52,3640,0.0017554012345679013,Small,1.3461538461538463,Center,65.79048351648352,26.08172139171843,43.19580832797971,0.0
01900.jpg,0,22,14,308,0.00014853395061728396,Tiny,1.5714285714285714,Center,61.66428571428571,23.55899800134671,160.12470399730137,0.0
01908.jpg,0,53,20,1060,0.0005111882716049383,Small,2.65,Center,69.16618867924528,33.001191576575444,317.3707358846565,0.0
01911.jpg,0,50,22,1100,0.0005304783950617284,Small,2.272727272727273,Edge,91.92752727272727,47.33592314966588,450.20797481785127,0.0
01936.jpg,0,37,19,703,0.00033902391975308645,Tiny,1.9473684210526316,Center,58.8950213371266,52.574836353551056,157.6795002082115,0.0
01952.jpg,0,52,33,1716,0.0008275462962962963,Small,1.5757575757575757,Edge,225.77653194263362,47.33028966925903,284.5677267932938,0.0
02015.jpg,0,30,15,450,0.00021701388888888888,Tiny,2.0,Center,137.2992888888889,55.0821506029846,537.3510685155555,0.0
02156.jpg,0,45,26,1170,0.0005642361111111111,Small,1.7307692307692308,Center,39.49682051282051,11.851485830333164,60.497190352545836,0.0
02170.jpg,0,71,20,1420,0.0006847993827160494,Small,3.55,Center,111.15814084507042,40.74322900535719,267.69592731600875,0.0
