image,GT,Predictions,TP,FP,FN,total_errors
00192.jpg,1,1,1,0,0,0
00193.jpg,1,1,1,0,0,0
00194.jpg,1,1,1,0,0,0
00195.jpg,1,1,1,0,0,0
00196.jpg,1,1,1,0,0,0
00197.jpg,1,1,1,0,0,0
00198.jpg,1,1,1,0,0,0
00199.jpg,1,1,1,0,0,0
00200.jpg,1,1,1,0,0,0
00201.jpg,1,1,1,0,0,0
00202.jpg,1,1,1,0,0,0
00203.jpg,1,1,1,0,0,0
00204.jpg,1,1,1,0,0,0
00205.jpg,1,1,1,0,0,0
00206.jpg,1,1,1,0,0,0
00207.jpg,1,1,1,0,0,0
00208.jpg,1,1,1,0,0,0
00209.jpg,1,1,1,0,0,0
00211.jpg,1,1,1,0,0,0
00212.jpg,1,1,1,0,0,0
00213.jpg,1,1,1,0,0,0
00214.jpg,1,1,1,0,0,0
00215.jpg,1,1,1,0,0,0
00216.jpg,1,1,1,0,0,0
00217.jpg,1,1,1,0,0,0
00218.jpg,1,1,1,0,0,0
00219.jpg,1,1,1,0,0,0
00220.jpg,1,1,1,0,0,0
00221.jpg,1,1,1,0,0,0
00222.jpg,1,1,1,0,0,0
00223.jpg,1,1,1,0,0,0
00224.jpg,1,1,1,0,0,0
00225.jpg,1,1,1,0,0,0
00226.jpg,1,1,1,0,0,0
00228.jpg,1,1,1,0,0,0
00229.jpg,1,1,1,0,0,0
00230.jpg,2,2,2,0,0,0
00231.jpg,2,2,2,0,0,0
00232.jpg,1,1,1,0,0,0
00233.jpg,1,1,1,0,0,0
00234.jpg,1,1,1,0,0,0
00235.jpg,2,2,2,0,0,0
00236.jpg,2,2,2,0,0,0
00237.jpg,1,1,1,0,0,0
00238.jpg,1,1,1,0,0,0
00239.jpg,2,2,2,0,0,0
00240.jpg,1,1,1,0,0,0
00241.jpg,1,1,1,0,0,0
00242.jpg,1,1,1,0,0,0
00243.jpg,1,1,1,0,0,0
00244.jpg,1,1,1,0,0,0
00245.jpg,1,1,1,0,0,0
00246.jpg,1,1,1,0,0,0
00248.jpg,1,1,1,0,0,0
00249.jpg,1,1,1,0,0,0
00250.jpg,1,1,1,0,0,0
00251.jpg,1,1,1,0,0,0
00252.jpg,1,1,1,0,0,0
00253.jpg,1,1,1,0,0,0
00254.jpg,1,1,1,0,0,0
00255.jpg,1,1,1,0,0,0
00256.jpg,1,1,1,0,0,0
00257.jpg,1,1,1,0,0,0
00258.jpg,1,1,1,0,0,0
00259.jpg,1,1,1,0,0,0
00260.jpg,1,1,1,0,0,0
00261.jpg,1,1,1,0,0,0
00263.jpg,1,1,1,0,0,0
00265.jpg,1,1,1,0,0,0
00266.jpg,1,1,1,0,0,0
00267.jpg,1,1,1,0,0,0
00268.jpg,1,1,1,0,0,0
00269.jpg,1,1,1,0,0,0
00270.jpg,1,1,1,0,0,0
00271.jpg,1,1,1,0,0,0
00272.jpg,1,1,1,0,0,0
00273.jpg,1,1,1,0,0,0
00274.jpg,1,1,1,0,0,0
00275.jpg,1,1,1,0,0,0
00276.jpg,1,1,1,0,0,0
00277.jpg,1,1,1,0,0,0
00278.jpg,1,1,1,0,0,0
00279.jpg,1,1,1,0,0,0
00280.jpg,1,1,1,0,0,0
00281.jpg,1,1,1,0,0,0
00282.jpg,1,1,1,0,0,0
00284.jpg,1,1,1,0,0,0
00285.jpg,1,1,1,0,0,0
00286.jpg,1,1,1,0,0,0
00287.jpg,1,1,1,0,0,0
00289.jpg,1,1,1,0,0,0
