epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
59,14909,1.29147,0.45607,0.00249,0.98205,0.92942,0.95304,0.65869,1.22096,0.40663,0.00277,0.0008516,0.0008516,0.0008516
60,15173.2,1.27138,0.45462,0.00245,0.97815,0.93628,0.95719,0.65674,1.23298,0.42485,0.00286,0.0008318,0.0008318,0.0008318
61,15438.4,1.27033,0.4438,0.00227,0.97105,0.9359,0.95444,0.65508,1.22966,0.41941,0.0029,0.000812,0.000812,0.000812
62,15697.4,1.28468,0.44754,0.00226,0.97686,0.93209,0.95477,0.66304,1.21537,0.40413,0.00275,0.0007922,0.0007922,0.0007922
63,15958.4,1.25961,0.43293,0.00235,0.97825,0.93285,0.95727,0.66338,1.22917,0.40318,0.00277,0.0007724,0.0007724,0.0007724
64,16214.5,1.28265,0.44833,0.00237,0.97335,0.93171,0.95427,0.66431,1.22932,0.40819,0.00276,0.0007526,0.0007526,0.0007526
65,16469.7,1.25762,0.43312,0.00221,0.97527,0.93209,0.95529,0.66094,1.22093,0.40963,0.00274,0.0007328,0.0007328,0.0007328
66,29701.7,1.25155,0.42776,0.00221,0.97574,0.93476,0.95615,0.66001,1.21971,0.40479,0.00277,0.000713,0.000713,0.000713
67,40135.7,1.22996,0.42194,0.00234,0.97481,0.9302,0.9544,0.65729,1.23557,0.41421,0.00283,0.0006932,0.0006932,0.0006932
68,49770.3,1.25097,0.43794,0.00223,0.98148,0.9302,0.95524,0.65765,1.22679,0.4088,0.00289,0.0006734,0.0006734,0.0006734
69,50045.6,1.23262,0.43197,0.00227,0.98036,0.93313,0.95801,0.66241,1.21996,0.40744,0.00277,0.0006536,0.0006536,0.0006536
70,50309.8,1.24757,0.43317,0.00229,0.98387,0.93073,0.95835,0.66254,1.21407,0.40213,0.00285,0.0006338,0.0006338,0.0006338
71,50560.4,1.23406,0.42083,0.00221,0.97676,0.93009,0.95512,0.6558,1.2396,0.40338,0.00288,0.000614,0.000614,0.000614
72,50811.1,1.23488,0.41835,0.00229,0.97845,0.93528,0.95651,0.66722,1.19986,0.40019,0.0028,0.0005942,0.0005942,0.0005942
73,51060.6,1.23732,0.42331,0.00224,0.98265,0.92917,0.95679,0.66432,1.21154,0.40527,0.00274,0.0005744,0.0005744,0.0005744
74,51309.5,1.21975,0.42495,0.00224,0.97987,0.92859,0.95743,0.65778,1.21926,0.40654,0.00274,0.0005546,0.0005546,0.0005546
75,51560.8,1.20395,0.40858,0.00217,0.98263,0.92784,0.95818,0.66508,1.19946,0.40204,0.00271,0.0005348,0.0005348,0.0005348
76,51810.6,1.21532,0.41277,0.00234,0.98306,0.9298,0.95675,0.66524,1.20607,0.39984,0.00269,0.000515,0.000515,0.000515
77,52060.6,1.21269,0.40901,0.00221,0.97886,0.93132,0.95738,0.66571,1.20373,0.39915,0.00276,0.0004952,0.0004952,0.0004952
78,52311.4,1.21026,0.40806,0.00215,0.98226,0.92977,0.95769,0.66355,1.2057,0.3998,0.00265,0.0004754,0.0004754,0.0004754
79,52562.7,1.21273,0.40565,0.00214,0.98228,0.93055,0.95758,0.6659,1.20289,0.39229,0.00266,0.0004556,0.0004556,0.0004556
80,52812.4,1.20534,0.40284,0.00213,0.98606,0.93094,0.95868,0.66822,1.19906,0.39176,0.00262,0.0004358,0.0004358,0.0004358
81,53062.3,1.20047,0.40905,0.00214,0.97694,0.93731,0.95648,0.66819,1.20399,0.39495,0.00261,0.000416,0.000416,0.000416
82,53313.8,1.19384,0.39762,0.00205,0.98468,0.93206,0.95909,0.66821,1.20031,0.39282,0.00262,0.0003962,0.0003962,0.0003962
83,53563.8,1.18597,0.39379,0.00205,0.98275,0.93445,0.95823,0.66595,1.20466,0.39054,0.00262,0.0003764,0.0003764,0.0003764
84,53814,1.18929,0.39749,0.00205,0.98215,0.93094,0.95601,0.66514,1.20304,0.39553,0.00263,0.0003566,0.0003566,0.0003566
85,54064.2,1.17393,0.38254,0.00194,0.97636,0.93323,0.95692,0.66306,1.21086,0.39694,0.00259,0.0003368,0.0003368,0.0003368
86,54315.8,1.17247,0.38809,0.00202,0.98246,0.93171,0.95701,0.66833,1.19688,0.3916,0.00259,0.000317,0.000317,0.000317
87,54568.2,1.17956,0.39101,0.00205,0.98425,0.93,0.95657,0.66768,1.19434,0.39031,0.0026,0.0002972,0.0002972,0.0002972
88,54819,1.17719,0.39164,0.00205,0.98427,0.93086,0.95705,0.66691,1.19837,0.39457,0.00263,0.0002774,0.0002774,0.0002774
89,55070.3,1.15896,0.38483,0.00199,0.97841,0.93381,0.95694,0.66723,1.19362,0.39188,0.00264,0.0002576,0.0002576,0.0002576
90,55321.5,1.16879,0.38895,0.00205,0.98306,0.93019,0.95663,0.66913,1.18996,0.39072,0.00264,0.0002378,0.0002378,0.0002378
91,55589.7,1.14177,0.34293,0.00189,0.97961,0.93056,0.95088,0.66477,1.20305,0.40643,0.00268,0.000218,0.000218,0.000218
92,55837.5,1.11902,0.33258,0.00188,0.98036,0.93312,0.95434,0.66269,1.20676,0.41104,0.00268,0.0001982,0.0001982,0.0001982
93,56086.6,1.11451,0.33382,0.00182,0.98095,0.93476,0.95482,0.66394,1.20222,0.4035,0.0027,0.0001784,0.0001784,0.0001784
94,56333.3,1.11697,0.32841,0.00182,0.98084,0.93772,0.95659,0.66596,1.19633,0.39814,0.00265,0.0001586,0.0001586,0.0001586
95,56582.1,1.11819,0.3251,0.00187,0.98431,0.93351,0.95641,0.66417,1.20329,0.39969,0.00267,0.0001388,0.0001388,0.0001388
96,56839.3,1.11923,0.32063,0.00188,0.98318,0.93285,0.95618,0.66299,1.20987,0.39945,0.00268,0.000119,0.000119,0.000119
97,57100.8,1.10757,0.31612,0.00178,0.97912,0.93361,0.95433,0.66198,1.20958,0.39932,0.00267,9.92e-05,9.92e-05,9.92e-05
98,57348.4,1.1,0.32068,0.0018,0.98157,0.93471,0.95556,0.66505,1.19764,0.39827,0.00265,7.94e-05,7.94e-05,7.94e-05
99,57596.1,1.10232,0.3226,0.00181,0.98177,0.93514,0.95742,0.66537,1.20098,0.39704,0.00265,5.96e-05,5.96e-05,5.96e-05
100,57848.6,1.09557,0.3164,0.00174,0.98261,0.93438,0.95731,0.6663,1.19498,0.39705,0.00263,3.98e-05,3.98e-05,3.98e-05
